	PAN1A_F_filt.fastq.gz	PAN1B_F_filt.fastq.gz	PAN1C_F_filt.fastq.gz	PAN2A_F_filt.fastq.gz	PAN2B_F_filt.fastq.gz	PAN2C_F_filt.fastq.gz	PAN3A_F_filt.fastq.gz	PAN3B_F_filt.fastq.gz	PAN3C_F_filt.fastq.gz	PAN4A_F_filt.fastq.gz	PAN4B_F_filt.fastq.gz	PAN4C_F_filt.fastq.gz	PAN5A_F_filt.fastq.gz	PAN5B_F_filt.fastq.gz	PAN5C_F_filt.fastq.gz
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	340	435	1541	0	536	671	185	313	241	491	1035	549	389	395	208
ASV_13	0	0	2067	0	0	0	2729	4199	0	0	0	0	0	0	0
ASV_21	0	0	1327	0	0	0	811	0	25	1655	473	337	140	147	198
ASV_22	0	0	0	4764	0	0	0	0	0	0	0	0	0	0	0
ASV_25	65	35	783	0	0	77	0	0	0	479	229	2219	0	159	107
ASV_27	0	0	1688	0	0	0	540	298	0	473	351	215	0	170	0
ASV_29	438	661	0	1122	0	75	0	0	602	0	0	0	121	117	109
ASV_30	0	0	0	0	3047	0	0	0	0	0	0	0	0	0	0
ASV_32	135	204	0	0	1705	165	165	0	205	0	0	0	87	132	0
ASV_35	0	0	0	0	2604	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	1651	0	0	0	0	810	0	0	39	0	0	0	0
ASV_37	0	0	0	0	0	0	117	0	0	755	910	246	54	0	67
ASV_38	174	185	0	0	0	69	0	0	121	0	40	21	575	229	679
ASV_40	456	62	0	0	0	0	0	0	0	312	422	408	46	66	43
ASV_41	0	0	0	0	0	0	0	0	0	552	150	691	0	167	222
ASV_43	174	184	0	0	0	48	0	0	98	68	0	0	421	165	508
ASV_44	0	0	0	0	1631	0	0	0	0	0	0	0	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	515	855	165	0	0	8
ASV_46	0	0	0	0	1517	0	0	0	0	0	0	0	0	0	0
ASV_47	0	88	521	0	0	0	109	79	0	77	145	256	38	133	0
ASV_48	9	0	0	0	0	0	0	0	0	636	451	309	0	0	0
ASV_49	0	0	0	1278	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	574	0	0	0	0	556	0	0	0	0	0	0	0
ASV_51	0	0	0	0	0	196	599	330	0	0	0	0	0	0	0
