	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_11	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_13	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_21	Chromista	Bacillariophyta	Mediophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	sp.
ASV_22	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_25	Chromista	Bacillariophyta	Mediophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	NA
ASV_27	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_29	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_30	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_32	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	NA	NA
ASV_35	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Dangeardinia	NA
ASV_36	Plantae	NA	NA	NA	NA	NA	NA
ASV_37	Eubacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Aphanothecaceae	Euhalothece	NA
ASV_38	Plantae	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium	NA
ASV_40	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	NA
ASV_41	Chromista	Bacillariophyta	Mediophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	NA
ASV_43	Plantae	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium	NA
ASV_44	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_45	Chromista	Bacillariophyta	NA	NA	NA	NA	NA
ASV_46	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_47	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_48	Chromista	Ochrophyta	NA	NA	NA	NA	NA
ASV_49	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_50	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_51	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_52	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_53	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_54	Chromista	Bacillariophyta	NA	NA	NA	NA	NA
ASV_55	NA	NA	NA	NA	NA	NA	NA
ASV_56	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_57	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_58	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_59	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_60	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_61	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Dangeardinia	NA
ASV_62	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_63	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_64	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Trachydiscus	NA
ASV_65	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_66	Chromista	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_67	NA	NA	NA	NA	NA	NA	NA
ASV_68	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_69	Chromista	Bacillariophyta	NA	NA	NA	NA	NA
ASV_70	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_71	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_72	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_73	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_74	Chromista	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_75	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae_ordo_incertae_sedis	Coccomyxaceae	Choricystis	NA
ASV_76	Chromista	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_77	Plantae	Rhodophyta	NA	NA	NA	NA	NA
ASV_78	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_79	Chromista	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_80	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_81	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_82	Eubacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
ASV_83	Eubacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
ASV_84	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Dangeardinia	NA
ASV_85	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_86	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_87	Chromista	Ochrophyta	NA	NA	NA	NA	NA
ASV_88	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_89	Chromista	Bacillariophyta	Mediophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	NA
ASV_90	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_91	Chromista	Bacillariophyta	Mediophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	NA
ASV_92	Protozoa	Euglenozoa	Euglenophyceae	Euglenales_[=Euglenida]	Euglenaceae	Euglena	NA
ASV_93	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Guillardia	NA
ASV_94	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_95	NA	NA	NA	NA	NA	NA	NA
ASV_96	Plantae	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium	NA
ASV_97	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_98	Chromista	NA	NA	NA	NA	NA	NA
ASV_99	Eubacteria	Cyanobacteria	Cyanophyceae	NA	NA	NA	NA
ASV_100	Chromista	Bacillariophyta	Mediophyceae	NA	NA	NA	NA
ASV_101	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	NA
ASV_102	Chromista	Bacillariophyta	NA	NA	NA	NA	NA
ASV_103	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	NA
ASV_104	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_105	NA	NA	NA	NA	NA	NA	NA
ASV_106	Eubacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Cyanobium	NA
ASV_107	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Dangeardinia	NA
ASV_108	Chromista	Bacillariophyta	Mediophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	NA
